"I want to paint and sculpt, maybe garden and hang out with friends. I expect to occasionally collaborate on group projects or maybe offer workshops but I see myself as an artist renting space to be creative.",,"Beauty - Enrichment - Fun,Maker","studio and workshop space for members,gardens",
Would like mention its a space to experiment with making. There are no mistakes.,,Experimentation,,
"Repurposed McDonald's playplaces to act as giant hamster tubes, but for goats and children and adults instead.",,Beauty - Enrichment - Fun,,
"Dog shit awareness campaign. Ruminant shit is ok, but not dog shit.",,Beauty - Enrichment - Fun,,
Anything resembling the city museum in St Louis is great.,,"Beauty - Enrichment - Fun,Community Resource",activities for kids,
"Once covid is under control id like to see events welcoming in Alamedans. Fund raisers, art shows etc""",,"Community Resource,Beauty - Enrichment - Fun","event space,performance arts",
A spirit of barter/trade.,,"Community Resource,Resiliency - Sustainability",providing material resouces,
Free community resources (workspace/materials/tools) for locals.,,"Community Resource,Maker",providing material resouces,
"I want to see a place where people can work on their projects, largely centered on communal well-being (this community being the bay area or larger, not specifically the MakerFarm), while sharing resources and knowledge.",,"Community Resource,Beauty - Enrichment - Fun",,
I would love to see skill sharing that incorporates teaching low income kids/people in the neighborhood. (I'd be happy to teach a welding/metal fabrication or woodworking class) perhaps sliding scale class fees to help raise money.,,"Community Resource,Maker","activities for kids,skilled trades",
"Field trips to the farm for petting zoo, especially for low income kids/head start kids. Perhaps a summer internship/Camp for a focused group of 5 to-10 kids or teens, with 5 weeks of intensive planned curriculum to teach them plant propagation, animal husbandry, welding, woodworking, water management etc.",,"Community Resource,Farm","animals,gardens,activities for kids,skilled trades",
"Commie material storage for wood, metal etc.",,"Zero waste,Community Resource","providing material resouces,zero waste projects",
educational programs for kids,,"Community Resource,Resiliency - Sustainability","activities for kids,workshops",
big composting operation.,,"Zero waste,Farm","gardens,providing material resouces",
hobbit maker mound/children education center,,"Community Resource,Beauty - Enrichment - Fun",activities for kids,
"demonstration of what ""products"" are created - be them services for farming, or capabilities for education, or even ""meet-up"" type focus for access to tools, experience, etc. ",,"Maker,Community Resource","workshops,skilled trades,agricultural projects",
"very strong community service focus in our collective projects and space use (not necessarily what people do in their containers) related to urban ag, zero waste, local resiliency etc",,"Community Resource,Resiliency - Sustainability","providing material resouces,gardens,zero waste projects",
learning center,,Community Resource,workshops,
Diversity of makers - would like to reach out to include more POC.,,"Membership,Diversity",,
Co-op (1 member 1 vote) structure!,,Membership,co-op structure,
all members teaching at least 1 hands-on workshop to local (APC-housed) community members a year!,,"Membership,Community Resource",expectation of members to help with mission,
"Gain new members through time spent on the farm (open to all - come by and hang out and DO stuff, once they spent some # of hours on the farm (20? 40?), invite them to a meeting to join.  members DONT need to have storage on site - members should be allowed to be members without paying for space)!",,Membership,expectation of members to help with mission,
"Getting new members it's essential for us to break even on rent +debt. We should have some sort of consensus (or near consensus) voting scheme for new members, which should include an interview by a committee of members. We should have flexible membership options, some of which don't involve renting specific space (ie a container) but just using the public space. Talking to David korman right now, he said he'd be down to pay $100 per month to be able to use the space to work on projects. He is also super interesting in doing new member interviews, which I highly recommend him for. He also suggested vetting new members for their skills related to good listening and non violent communication.",,Membership,"co-op structure,expectation of members to help with mission",
Coordinated work days to collectively fast track communal projects.,,"Membership,Beauty - Enrichment - Fun",expectation of members to help with mission,
kitchen,,Maker,kitchen and food,
"cooperative ownership/control by members, all members contribute in some way to the projects of the space (even if in a small ways! :)",,Membership,"co-op structure,expectation of members to help with mission",
"grow our membership to be diverse (in gender, age, race, background and work) and representative of the community we live in",,"Membership,Diversity",,
Diversity should be added to MS for sure.,,Diversity,,
inclusion of POC as leaders and training grounds to raise up local community,,"Community Resource,Diversity",,
equality in input/management/decision making,,Membership,co-op structure,
seasonal open studios/craft faires highlighting everyone's crafts,,"Membership,Maker","opportunities for members to make money,art,skilled trades",
"to grow a pumpkin patch, host a harvest festival, open farm day with pumpkin carving and other kid-friendly activities",,"Community Resource,Beauty - Enrichment - Fun","gardens,providing material resouces",
host a build a dinghy boat,,"Community Resource,Maker","skilled trades,workshops",
"workshop/internship, all aspects from hull construction (woodwork), standing rigging (blacksmithing and metalwork), running rigging (marlinspike work), sail making and canvaswork",,"Community Resource,Maker","skilled trades,workshops",
stitch and bitch nights,,"Maker,Beauty - Enrichment - Fun","art,skilled trades",
"fiberarts workshops where we shear the sheep, wash and card the wool, and spin it into yarn.",,"Farm,Community Resource","zero waste projects,animals,workshops",
I'm also excited (if it happens) to get the aquaponic setup. I've been wanting to learn more about it!,,"Resiliency - Sustainability,Farm","green infrastucture,agricultural projects",
Ongoing educational opportunities in trades for makers able to teach and agriculture.,,"Farm,Community Resource","gardens,skilled trades,workshops",
People come for the animals and shared community spaces.,,"Community Resource,Farm","animals,providing material resouces",
Understanding what the community might not be getting from APC and how we can offer those things,,"Community Resource,Resiliency - Sustainability",providing material resouces,
Live performance venue.,,"Beauty - Enrichment - Fun,Maker","event space,performance arts",
Artist in Residency program.,,Maker,art,
"Art Gallery for Active Makers, Community members + outside Artists to display work.",,"Maker,Membership","art,opportunities for members to make money",
"Inviting outside organizations to rent our space for events, projects or workshops.",,Community Resource,"providing material resouces,event space,workshops",
Diverse membership and volunteer base!,,"Membership,Diversity",,
"Good relationship with the neighbors (that means we are respectful of them by listening to concerns about noise and keeping junk from accumulating, among other things).",,"Community Resource,Beauty - Enrichment - Fun",,
"People drop by on open days to play with the animals, and look at our in process projects.",,"Community Resource,Beauty - Enrichment - Fun","providing material resouces,animals",
"We help the community when they ask for help, maybe hold workshops that they request, help repair things, haircuts, etc.",,"Resiliency - Sustainability,Community Resource","providing material resouces,resilience hub",
More green space!!!,,"Farm,Beauty - Enrichment - Fun",gardens,
"We have many more members, maybe that means more boxes than containers added in the future.",,Membership,,
We hold performances and have performance space.,,"Beauty - Enrichment - Fun,Maker","event space,performance arts",
"We work to educate the community about our animals, what they eat, breeds, things they need to live, etc.",,"Community Resource,Farm",animals,
Outdoor kitchen.,,Community Resource,kitchen and food,
"I personally would like to give workshops on printmaking, I think a lot of people are interested but just don't have access to the tools, because they're expensive. I would like to personally expand my printmaking ability: add in copperplate etching with electro-etching and aquatint to offer to people as a class as well (these are way hard to get access to if you're not a nerd).",,"Maker,Community Resource","workshops,art",
"I think these classes could be a way to raise money for the farm, but also for the artist/blacksmith/dancers/painters/etc offering the class... maybe a split of revenue?",,Membership,"opportunities for members to make money,skilled trades",
"I personally will be also working on my van buildout and boat projects at the farm, in addition to art.",,Maker,"studio and workshop space for members,skilled trades",
"Gaining new members: we should all agree/vote on new members not only a few people deciding, also weigh what they will bring to the community (both ours and the public offerings)... they after-all will be our family.",,Membership,co-op structure,
"I'd like to see building classes from some of our people who know how to do framing, construction etc (which there really isn't any classes of that I know of - I'd take them!).",,Resiliency - Sustainability,"skilled trades,workshops",
"I like the idea of structured classes where people come, take a class and go, and less like the idea of being open to the public all the time where people are coming and going (especially during covid) and where things will go missing... but that's a personal preference, and I'm kinda an introvert sometimes. I think we should strike a balance between a community resource and a free-for-all of random people visiting all the time/just walking on in and borrowing things, where the makers are at the epicenter of a constant stream of people. I also think we should have a calendar of events that is very clear what is happening when and other times when the farm is not open to the public.",,Community Resource,"providing material resouces,studio and workshop space for members",
The Makerfarm is an outdoor workspace and urban farm ,checked,"Farm,Maker","studio and workshop space for members,agricultural projects",
The Makerfarm community is passionate about sharing our skills.,checked,Community Resource,"providing material resouces,workshops",
Our members are talented and skilled in their crafts.,checked,Maker,skilled trades,
"With the do-it-yourself spirit that is at the core of our organization, we all have the opportunity to learn something new, and all have the ability to share.",checked,"Experimentation,Community Resource",,
"We dance, garden, blacksmith, sew, and woodwork.",checked,"Beauty - Enrichment - Fun,Maker,Farm","performance arts,gardens,skilled trades",
We hatch baby chicks and raise them to maturity.,checked,Farm,animals,
We hope to instill the maker mindset in every person we reach.,checked,"Resiliency - Sustainability,Experimentation",,
"We can all fix things, and we can all make something out of nothing.",checked,Zero waste,,
The Makerfarm community is part of the larger Bay Area community.,checked,Community Resource,,
"In the critical early months of shelter-in-place, many of our members stepped up to make PPE for hospital workers and first responders.",checked,Community Resource,providing material resouces,
"Since Makerfarm is an outdoor space, we have been one of the few safe places to facilitate hands on learning experiences and promote science education during the pandemic.",checked,Community Resource,workshops,
"We are also an official Alameda Animal Shelter, specializing in rehoming chickens from Alameda Animal Control, and our animals have brought immense joy to innumerable individuals as their paths cross with ours.",checked,Farm,animals,
"Thanks to our food redistribution infrastructure and composting/garden soil production we have been able to share critical resources with bay area residents and beyond, not to mention, keeping valuable resources out of the waste stream.",checked,Zero waste,"agricultural projects,kitchen and food",
"The Makerfarm promotes and embodies the principles of sustainability, zero-waste, and local resilience.",checked,"Resiliency - Sustainability,Zero waste",zero waste projects,
"racial, ethnic, and class diversity",,Diversity,,
workshops/projects that are intended for and include low income populations or communities that would not normally have access to the resources and educational opportunities we offer.,,"Community Resource,Resiliency - Sustainability","workshops,providing material resouces",
"a place for kids/adults to learn and play, a place to feel creative and inspired",,"Beauty - Enrichment - Fun,Experimentation",activities for kids,
partnerships with other orgs/projects who are already servicing the folks we hope to engage.,,Community Resource,resilience hub,
an opportunity to have unique experiences with urban gardening and animals,,"Maker,Farm","animals,gardens",
